generation,CornerStrategy,NearCornerStrategy,EdgeStrategy,NearEdgeStrategy,HighestTurnoverStrategy,PreventOpponentTurnStrategy,CaptureLastTurnStrategy,DecisiveWinStrategy,IncreaseMobilityStrategy,DecreaseOpponentMobilityStrategy,RandomizationStrategy,wins,loses,ratio
177,0.8906571547602342,-0.37662641671091446,-0.15868064029280135,0.043794396970774155,-0.11706753595432781,0.48591224458092563,0.1470040207812794,0.38233913277091286,-0.0033285984282487024,0.19788005599147743,0.16935371254725254,15,5,3.0
178,0.8442504020534353,-0.4068577602945745,-0.25191793273902346,-0.06812519317902731,-0.11845862286897374,0.8263647990891383,-0.08758886546871111,0.8588337432904735,0.11076229890548482,0.3143208951829918,0.026790335392541942,13,6,2.1666666666666665
179,0.8442504020534353,-0.4068577602945745,-0.25191793273902346,-0.06812519317902731,-0.11845862286897374,0.8263647990891383,-0.08758886546871111,0.8588337432904735,0.11076229890548482,0.3143208951829918,0.026790335392541942,15,5,3.0
180,0.9658315826017431,-0.4029446405030269,-0.1453871686173939,-0.01847900988764735,-0.02660882705639299,0.48128135854784465,0.10694049228513076,0.3476583633779994,-0.03484303561392624,0.15236809866339687,0.12788470702061705,16,4,4.0
181,0.9249767451159586,-0.3047501123797133,-0.16917299891631393,-0.08240481029669418,-0.052022691568167065,0.489130805675096,0.10703502488862374,0.2765577137454909,0.0034390425245498513,0.08250461893543862,0.033691447793567586,15,5,3.0
182,0.7790518787542344,-0.32981556647891275,-0.1849083530781928,-0.03775052769487457,-0.032835632026145894,0.8506209289813221,-0.0989876863397465,0.8810064084621152,0.07635002548684088,0.2525155481223827,0.0891620101936619,15,3,5.0
183,0.9658315826017431,-0.4029446405030269,-0.1453871686173939,-0.01847900988764735,-0.02660882705639299,0.48128135854784465,0.10694049228513076,0.293782631299334,-0.03484303561392624,0.15236809866339687,0.12788470702061705,13,6,2.1666666666666665
184,0.9658315826017431,-0.38823640194693204,-0.1453871686173939,-0.01847900988764735,-0.02660882705639299,0.48128135854784465,0.10694049228513076,0.3476583633779994,-0.03484303561392624,0.15236809866339687,0.12788470702061705,14,5,2.8
185,0.9658315826017431,-0.38823640194693204,-0.1453871686173939,-0.01847900988764735,-0.02660882705639299,0.48128135854784465,0.10694049228513076,0.3476583633779994,-0.03484303561392624,0.19537457674233846,0.12788470702061705,15,4,3.75
186,0.9658315826017431,-0.38823640194693204,-0.1453871686173939,0.05528186842871764,-0.02660882705639299,0.48128135854784465,0.10694049228513076,0.3476583633779994,-0.03484303561392624,0.15236809866339687,0.12788470702061705,16,4,4.0
187,0.9658315826017431,-0.4029446405030269,-0.1453871686173939,-0.01847900988764735,-0.02660882705639299,0.48128135854784465,0.10694049228513076,0.3476583633779994,-0.03484303561392624,0.15236809866339687,0.12788470702061705,16,3,5.333333333333333
188,0.9658315826017431,-0.4029446405030269,-0.1453871686173939,-0.01847900988764735,-0.02660882705639299,0.48128135854784465,0.10694049228513076,0.3476583633779994,-0.03484303561392624,0.15236809866339687,0.12788470702061705,16,4,4.0
189,1.0710981810167437,-0.45903464437544156,-0.03255403270429519,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.09957904600528816,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.03006820459240825,15,5,3.0
190,1.0710981810167437,-0.45903464437544156,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.09957904600528816,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.03006820459240825,16,3,5.333333333333333
191,1.0710981810167437,-0.4713183002432288,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.09957904600528816,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.03006820459240825,15,4,3.75
192,1.0710981810167437,-0.45903464437544156,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.1773291579780432,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.03006820459240825,14,5,2.8
193,1.0710981810167437,-0.4713183002432288,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.09957904600528816,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.03006820459240825,16,4,4.0
194,1.0710981810167437,-0.45903464437544156,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.1773291579780432,0.25096142727769305,-0.12218875738010082,0.1803282343962578,-0.022357524151066427,15,5,3.0
195,0.9349685701942811,-0.417180430221325,-0.18301908153018945,-0.10519578451069239,-0.0321598294286365,0.454783734171904,0.14729132144007978,0.43331928292251654,-0.009790031895532209,0.11311788779362028,0.06561723419760052,16,3,5.333333333333333
196,1.0710981810167437,-0.45903464437544156,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.1773291579780432,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.022357524151066427,16,4,4.0
197,1.0710981810167437,-0.45903464437544156,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.1773291579780432,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.005733176566376064,17,3,5.666666666666667
198,0.9349685701942811,-0.3684257766471758,-0.18301908153018945,-0.10519578451069239,0.024859396411366932,0.454783734171904,0.14729132144007978,0.43331928292251654,-0.009790031895532209,0.11311788779362028,0.06561723419760052,14,5,2.8
199,0.9349685701942811,-0.417180430221325,-0.18301908153018945,-0.10519578451069239,0.024859396411366932,0.454783734171904,0.14729132144007978,0.43331928292251654,-0.009790031895532209,0.11311788779362028,0.06561723419760052,15,5,3.0
200,1.0710981810167437,-0.45903464437544156,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.1773291579780432,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.005733176566376064,15,5,3.0
201,1.0002171281781798,-0.40184552039229104,-0.17200413972297013,0.04844942515412033,-0.07020272549060283,0.4627637780179653,0.10863005336882461,0.31811642768611004,0.0019494117827643376,0.08297511920809715,0.06989651559596194,15,5,3.0
202,1.0710981810167437,-0.45903464437544156,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.1773291579780432,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.022357524151066427,14,6,2.3333333333333335
203,1.1428030494801078,-0.45531766002362656,-0.008326364119079374,-0.11636918656413736,-0.019139589616577704,0.45304664100477526,0.3256073529842974,0.15249460504746437,-0.16496592126738852,0.23571034242554434,0.0034289517964854604,16,4,4.0
204,0.9059637281234321,-0.3226452126150433,-0.10555053488639335,0.05264647655661804,0.028281358495378467,0.4046291662991097,0.03732031291216917,0.35464269634042705,-0.0723257396479853,0.07400323684007191,0.015491247840006911,19,1,19.0
205,1.0869109217406894,-0.5460924563349484,0.03653136530329619,-0.03875007744905343,-0.07594531361861294,0.46753730041391184,0.24695902940047826,0.2186121905632258,-0.09851996535484445,0.20518178158983855,0.012429814463570235,17,3,5.666666666666667
206,0.9059637281234321,-0.3226452126150433,-0.10555053488639335,0.05264647655661804,0.028281358495378467,0.4046291662991097,0.03732031291216917,0.35464269634042705,-0.0723257396479853,0.1350153891830863,0.015491247840006911,14,5,2.8
207,0.9059637281234321,-0.3226452126150433,-0.10555053488639335,0.05264647655661804,0.028281358495378467,0.4046291662991097,0.03732031291216917,0.35464269634042705,-0.0723257396479853,0.1350153891830863,0.015491247840006911,14,6,2.3333333333333335
208,1.139172000945287,-0.46591670556134634,-0.13182830218026098,-0.09096669286274861,0.05413235504481559,0.3714331147516018,0.2305974088051174,0.22037171424084592,-0.21444144040837487,0.1332287840277977,-0.0662930060001554,13,7,1.8571428571428572
209,1.139172000945287,-0.46591670556134634,-0.13182830218026098,-0.09096669286274861,0.05413235504481559,0.3714331147516018,0.2305974088051174,0.22037171424084592,-0.21444144040837487,0.1332287840277977,-0.0662930060001554,15,5,3.0
210,1.0710981810167437,-0.45903464437544156,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.1773291579780432,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.022357524151066427,15,5,3.0
211,1.0710981810167437,-0.45903464437544156,-0.14033309788305925,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.1773291579780432,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.022357524151066427,13,7,1.8571428571428572
212,1.0710981810167437,-0.45903464437544156,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.1773291579780432,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.022357524151066427,17,3,5.666666666666667
213,1.0710981810167437,-0.45903464437544156,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.1773291579780432,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.022357524151066427,17,3,5.666666666666667
214,1.0710981810167437,-0.45903464437544156,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.1773291579780432,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.022357524151066427,14,6,2.3333333333333335
215,1.139172000945287,-0.46591670556134634,-0.13182830218026098,-0.09096669286274861,0.05413235504481559,0.3714331147516018,0.25109480312180654,0.22037171424084592,-0.21444144040837487,0.1332287840277977,-0.0662930060001554,14,5,2.8
216,1.0710981810167437,-0.45903464437544156,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.1773291579780432,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.022357524151066427,15,5,3.0
217,1.0710981810167437,-0.45903464437544156,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.1773291579780432,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.022357524151066427,15,5,3.0
218,1.067509454582507,-0.5237992078119755,-0.06058081672736895,-0.020181072855172177,0.02831034834460426,0.3348170486770153,0.2424194969502631,0.15659362671345708,-0.30454904067146704,0.21996838641695696,0.012612670082849817,16,4,4.0
219,1.0710981810167437,-0.45903464437544156,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.1773291579780432,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.022357524151066427,18,2,9.0
220,1.067509454582507,-0.5237992078119755,-0.06058081672736895,-0.020181072855172177,0.02831034834460426,0.3348170486770153,0.2424194969502631,0.15659362671345708,-0.30454904067146704,0.2098782740805755,0.012612670082849817,18,2,9.0
221,1.0710981810167437,-0.45903464437544156,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.1773291579780432,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.022357524151066427,14,6,2.3333333333333335
222,1.067509454582507,-0.5237992078119755,-0.06058081672736895,-0.020181072855172177,0.02831034834460426,0.3348170486770153,0.25087212124036645,0.15659362671345708,-0.30454904067146704,0.21996838641695696,0.012612670082849817,17,3,5.666666666666667
223,1.067509454582507,-0.5237992078119755,-0.06058081672736895,-0.020181072855172177,0.02831034834460426,0.3348170486770153,0.2424194969502631,0.15659362671345708,-0.30454904067146704,0.12285267202884029,0.012612670082849817,16,3,5.333333333333333
224,1.0646577224928166,-0.38708784360304294,-0.07529533861424763,-0.06418909334432776,0.08748552098785702,0.4222250360919436,0.20903584838763956,0.2797348265854538,-0.1941173634602705,0.11531320425177335,0.03959151940529898,14,6,2.3333333333333335
225,1.0657459788870622,-0.5298594029910999,-0.08541087788181381,-0.16709170587432687,0.049410160012711174,0.3875865925801966,0.18793607055942838,0.32829012585663586,-0.20458578614071515,0.2691641704501725,-0.03233553623486224,14,6,2.3333333333333335
226,1.0657459788870622,-0.5298594029910999,-0.08541087788181381,-0.16709170587432687,0.049410160012711174,0.3875865925801966,0.18793607055942838,0.32829012585663586,-0.20458578614071515,0.2691641704501725,-0.03233553623486224,14,5,2.8
227,1.0710981810167437,-0.40419176165954956,-0.06686581668425094,-0.12058661211392527,0.07974297035596482,0.4551333199657217,0.1773291579780432,0.25096142727769305,-0.18415288216049372,0.1803282343962578,-0.022357524151066427,16,4,4.0
228,0.9856667172593938,-0.4714376095888455,-0.12642635543814792,-0.1380371756050902,0.08028281832440094,0.3753523057831023,0.20789993005724167,0.3237107574248238,-0.23383910518096118,0.27610511703497576,0.003983580535105585,14,6,2.3333333333333335
229,1.0965248927803926,-0.40953778786145745,-0.06605956403775924,-0.14965071749806666,0.11672601806780973,0.5041708455126741,0.16274331901481368,0.17655810716074816,-0.09334002179668996,0.2618809381907212,0.0611008448737454,15,5,3.0
230,1.067509454582507,-0.5237992078119755,-0.06058081672736895,-0.020181072855172177,0.02831034834460426,0.3348170486770153,0.2424194969502631,0.15659362671345708,-0.2946661012074157,0.2098782740805755,0.012612670082849817,16,3,5.333333333333333
231,1.0965248927803926,-0.40953778786145745,-0.06605956403775924,-0.14965071749806666,0.11672601806780973,0.5041708455126741,0.16274331901481368,0.17655810716074816,-0.09334002179668996,0.2618809381907212,0.0611008448737454,14,6,2.3333333333333335
232,0.8782175864399939,-0.5225211718692728,-0.09356896757493335,-0.12318781681892058,0.10592815364410706,0.25277197560170245,0.002369246470406622,0.3508106142139207,-0.1259450030142708,0.23605775302189777,-0.07936273148690659,15,3,5.0
233,1.067509454582507,-0.5237992078119755,-0.06058081672736895,-0.020181072855172177,0.02831034834460426,0.3348170486770153,0.2424194969502631,0.15659362671345708,-0.30454904067146704,0.2098782740805755,0.06532043846598619,15,5,3.0
234,0.8782175864399939,-0.5225211718692728,-0.09356896757493335,-0.12318781681892058,0.10592815364410706,0.25277197560170245,0.002369246470406622,0.3508106142139207,-0.1259450030142708,0.23605775302189777,-0.07936273148690659,14,6,2.3333333333333335
235,0.8957554946187863,-0.6233309356046263,-0.22847692619217647,-0.014874986478986885,-0.036103438097969384,0.3379616979942294,0.15845394408620037,0.3748992607406239,-0.1785921198353953,0.31236972575518485,-0.10517393922803599,16,4,4.0
236,0.8957554946187863,-0.6233309356046263,-0.22847692619217647,-0.09702948576851989,-0.036103438097969384,0.3379616979942294,0.15845394408620037,0.3748992607406239,-0.1785921198353953,0.31236972575518485,-0.10517393922803599,16,4,4.0
237,0.7786277844892426,-0.49806678665317783,-0.1813900229305932,-0.09042661492229428,0.032050777263354646,0.23331494789584167,0.07099071801085596,0.38673289918539344,-0.18143028175801706,0.1598169923424776,-0.05503709999244935,15,5,3.0
238,0.9734659255623362,-0.5977829330900167,-0.163459938349386,-0.09534559481094321,0.01869625441737073,0.35136867574314673,0.09429963227746466,0.3521872716561858,-0.17956870657119772,0.2329071552110138,-0.08384524781956057,14,6,2.3333333333333335
239,0.9811598021196639,-0.7305272178611897,-0.14030743092269768,-0.13155249185543302,5.113429439390499E-4,0.289330128265382,-0.01905698643353286,0.35363194351673166,-0.09913274613001856,0.3306976472301507,-0.07726653201844091,18,2,9.0
240,0.8394749337042797,-0.6111320616790072,-0.24033886898480172,-0.061599588664270705,-0.023479826501112314,0.3373521105614885,0.06549173646769141,0.33766434644122184,-0.1274228942877865,0.40820234570037794,-0.127876444894317,14,6,2.3333333333333335
241,0.9806178918843276,-0.6710090659748449,-0.19537090300796967,-0.1622664929719282,0.009675449539853248,0.32169201761756583,0.05232419956453989,0.3227368463202438,-0.11997226787640031,0.31324471605537396,-0.036370238061832955,14,6,2.3333333333333335
242,0.9806178918843276,-0.6710090659748449,-0.19537090300796967,-0.1622664929719282,0.009675449539853248,0.32169201761756583,0.05232419956453989,0.3227368463202438,-0.11997226787640031,0.31324471605537396,-0.036370238061832955,16,4,4.0
243,0.8957554946187863,-0.6233309356046263,-0.20860302889334376,-0.07057343763706998,-0.036103438097969384,0.3379616979942294,0.15845394408620037,0.3748992607406239,-0.1785921198353953,0.31236972575518485,-0.10517393922803599,15,5,3.0
244,0.8775503678203369,-0.6450454240742219,-0.1810411343474465,5.0138527658588616E-5,0.01629163215694404,0.3940271971895539,0.1922281935159998,0.27318366368333846,-0.19258421974402473,0.2501527178747404,0.0014632959983301996,16,3,5.333333333333333
245,0.8775503678203369,-0.6450454240742219,-0.1810411343474465,5.0138527658588616E-5,0.01629163215694404,0.3940271971895539,0.1922281935159998,0.27318366368333846,-0.24267171957515854,0.2501527178747404,0.0014632959983301996,17,3,5.666666666666667
246,1.1766993819830769,-0.5131736324085538,-0.1131949495600843,-0.2738784559451092,0.09748398248639481,0.38712514609759574,0.35591248718166346,0.35309513072186083,-0.2606836437731044,0.25222367910745325,-0.13301554808032964,15,4,3.75
247,1.1959193706215703,-0.43960111500877713,-0.0447553615848634,-0.1908883393861041,0.16042887597997618,0.46313942681845466,0.28367278094391213,0.42958370882251684,-0.257602953061626,0.23384268263676505,-0.11006211941186134,15,5,3.0
248,0.912140889769129,-0.6893059267315893,-0.21203420408862433,-0.0036723776894037746,0.09069496219418591,0.3684346589836192,0.16830567733984325,0.27551506246460217,-0.27210869306611496,0.3347408728595471,-0.02867092267569772,15,4,3.75
249,0.8775503678203369,-0.6450454240742219,-0.1810411343474465,5.0138527658588616E-5,0.01629163215694404,0.3940271971895539,0.1922281935159998,0.29500152065552226,-0.24267171957515854,0.2501527178747404,0.0014632959983301996,14,5,2.8
250,0.9734659255623362,-0.5977829330900167,-0.2182454560001475,-0.09534559481094321,0.017633701454754624,0.35136867574314673,0.09429963227746466,0.3521872716561858,-0.17956870657119772,0.2329071552110138,-0.0602494256109849,16,3,5.333333333333333
251,0.9734659255623362,-0.5977829330900167,-0.2182454560001475,-0.09534559481094321,0.017633701454754624,0.35136867574314673,0.09429963227746466,0.3521872716561858,-0.17956870657119772,0.2329071552110138,-0.0602494256109849,16,4,4.0
252,0.9734659255623362,-0.5977829330900167,-0.2182454560001475,-0.09534559481094321,0.017633701454754624,0.35136867574314673,0.09429963227746466,0.25604794922593804,-0.17956870657119772,0.2329071552110138,-0.0602494256109849,17,3,5.666666666666667
253,0.9734659255623362,-0.5977829330900167,-0.2182454560001475,-0.09534559481094321,0.017633701454754624,0.35136867574314673,0.09429963227746466,0.3521872716561858,-0.17956870657119772,0.2329071552110138,-0.0602494256109849,13,7,1.8571428571428572
254,1.1709628530882923,-0.43960111500877713,-0.038943977952809114,-0.1908883393861041,0.16042887597997618,0.46313942681845466,0.28367278094391213,0.42958370882251684,-0.257602953061626,0.23384268263676505,-0.11006211941186134,16,4,4.0
255,0.9734659255623362,-0.5977829330900167,-0.2182454560001475,-0.09534559481094321,0.017633701454754624,0.35136867574314673,0.09429963227746466,0.3521872716561858,-0.17956870657119772,0.2329071552110138,-0.0602494256109849,14,6,2.3333333333333335
256,0.9734659255623362,-0.5977829330900167,-0.2182454560001475,-0.09534559481094321,0.017633701454754624,0.35136867574314673,0.09429963227746466,0.25604794922593804,-0.17956870657119772,0.2329071552110138,-0.0602494256109849,15,5,3.0
257,0.9734659255623362,-0.5977829330900167,-0.2182454560001475,-0.09534559481094321,0.017633701454754624,0.35136867574314673,0.09429963227746466,0.3521872716561858,-0.17956870657119772,0.2329071552110138,-0.0602494256109849,15,4,3.75
258,0.9734659255623362,-0.5977829330900167,-0.2182454560001475,-0.09534559481094321,0.017633701454754624,0.35136867574314673,0.09429963227746466,0.25604794922593804,-0.17956870657119772,0.2329071552110138,-0.0602494256109849,15,5,3.0
259,1.0671952577665251,-0.538137258674263,-0.2069113986328327,-0.0963352875311464,0.05693354494348363,0.34030463084403745,0.11845637259742653,0.26413333760262797,-0.16105429329527976,0.3047208908222707,-0.07050719216369397,15,5,3.0
260,0.9734659255623362,-0.5977829330900167,-0.2182454560001475,-0.09534559481094321,0.017633701454754624,0.35136867574314673,0.09429963227746466,0.25161700557733985,-0.17956870657119772,0.2329071552110138,-0.0602494256109849,15,5,3.0
261,0.9734659255623362,-0.5977829330900167,-0.2182454560001475,-0.09534559481094321,0.017633701454754624,0.2753642667817906,0.09429963227746466,0.3521872716561858,-0.17956870657119772,0.2329071552110138,-0.0602494256109849,15,5,3.0
262,0.9734659255623362,-0.5977829330900167,-0.2182454560001475,-0.09534559481094321,0.017633701454754624,0.35136867574314673,0.09429963227746466,0.25604794922593804,-0.17956870657119772,0.2329071552110138,-0.0602494256109849,16,4,4.0
263,1.005860184985073,-0.6636957630161617,-0.28385099066582475,-0.09558032409418388,0.0033505944610341815,0.38851709647819804,0.11931691521652082,0.4116045918998421,-0.26742028909590837,0.26592096861654535,0.006887961510930685,16,3,5.333333333333333
